name,matches,innings_batted,not_outs,runs_scored,balls_faced,fours,sixes,high_score,centuries,fifties,innings_bowled,balls_bowled,runs_conceded,wickets,5_wickets,best_bowling_wickets,best_bowling_runs,dismissals,batting_avg,batting_sr,bowling_economy,bowling_avg,identifier,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2,catches,stumpings,run_outs_involved
A Ashish Reddy,28.0,23.0,8.0,280.0,193.0,16.0,15.0,36.0,0.0,0.0,20.0,262.0,396.0,18.0,0.0,3.0,25.0,15.0,18.67,145.08,9.07,22.0,1c2a64cd,A Ashish Reddy,VcQJi1U0OGJeCXKzibLiyhIAiJJIeOi,,,,,,389605.0,,,,,,,,,,,34.0,,9,0,2
A Badoni,48.0,46.0,10.0,963.0,695.0,73.0,38.0,74.0,0.0,6.0,7.0,35.0,49.0,4.0,0.0,2.0,4.0,36.0,26.75,138.56,8.4,12.25,872b03f7,A Badoni,iUJeXIbiz1VGLe0iiJcIOJQCAKJhiOy,,,,,,1151270.0,,,,,,,,,,,,,18,0,1
A Chandila,12.0,2.0,2.0,4.0,7.0,0.0,0.0,4.0,0.0,0.0,12.0,234.0,242.0,11.0,0.0,4.0,13.0,0.0,4.0,57.14,6.21,22.0,99b202b3,A Chandila,,,,,,,27783.0,,,,,,,,,,,273.0,,7,0,0
A Chopra,6.0,6.0,0.0,53.0,71.0,7.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,6.0,8.83,74.65,0.0,0.0,e249fdaa,A Chopra,,,,,,,27639.0,,,,7749.0,,,,,,,,,2,0,1
A Chopra,6.0,6.0,0.0,53.0,71.0,7.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,6.0,8.83,74.65,0.0,0.0,57a7b064,Anjum Chopra,,,,,,,53910.0,,,,8475.0,,,,,,,,,2,0,1
A Choudhary,5.0,3.0,2.0,25.0,20.0,1.0,1.0,15.0,0.0,0.0,5.0,101.0,144.0,5.0,0.0,2.0,17.0,1.0,25.0,125.0,8.55,28.8,18e6906e,A Choudhary,ViXyQh1zbiJJJUIeLOAKeiGiIicOCJ0,,,,,,527299.0,,,,,,,,,,,1111.0,,0,0,0
A Dananjaya,1.0,1.0,1.0,4.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,24.0,47.0,0.0,0.0,0.0,47.0,0.0,4.0,80.0,11.75,0.0,5b16a806,A Dananjaya,,,,,,,574178.0,,,,515118.0,,,,,,,588.0,,0,0,0
A Flintoff,3.0,3.0,1.0,62.0,53.0,5.0,2.0,24.0,0.0,0.0,3.0,66.0,105.0,2.0,0.0,1.0,11.0,2.0,31.0,116.98,9.55,52.5,ddc0828d,A Flintoff,,,,,,,12856.0,,,,4263.0,,,,,,,392.0,,4,0,0
A Kamboj,11.0,6.0,4.0,16.0,14.0,2.0,0.0,5.0,0.0,0.0,11.0,189.0,286.0,10.0,0.0,3.0,13.0,2.0,8.0,114.29,9.08,28.6,fcc21ace,A Kamboj,,,,,,,1175428.0,,,,,,,,,,,,,4,0,0
A Kumble,42.0,15.0,12.0,35.0,47.0,3.0,0.0,8.0,0.0,0.0,42.0,965.0,1058.0,45.0,1.0,5.0,5.0,3.0,11.67,74.47,6.58,23.51,0c2730df,A Kumble,,,,,,,30176.0,,,,1972.0,,,,,,,,,10,0,0
A Manohar,20.0,20.0,1.0,292.0,235.0,23.0,14.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,19.0,15.37,124.26,0.0,0.0,0890552f,A Manohar,2016c92165c08c9611e69558028d29d,,,,,,778963.0,,,,,,,,,,,,,17,0,2
A Mhatre,7.0,7.0,0.0,240.0,127.0,31.0,11.0,94.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,7.0,34.29,188.98,0.0,0.0,b2b4f545,A Mhatre,,,,,,,1452455.0,,,,,,,,,,,,,4,0,0
A Mishra,162.0,56.0,25.0,381.0,419.0,31.0,5.0,31.0,0.0,0.0,162.0,3371.0,4145.0,174.0,1.0,5.0,17.0,31.0,12.29,90.93,7.38,23.82,0942d272,Aditya Mishra,,,,,,,31730.0,,,,,,,,,,,,,23,0,10
A Mishra,162.0,56.0,25.0,381.0,419.0,31.0,5.0,31.0,0.0,0.0,162.0,3371.0,4145.0,174.0,1.0,5.0,17.0,31.0,12.29,90.93,7.38,23.82,6b19d823,A Mishra,JKViieiGOiIJAXbzeIJJU0CLyOcihQ1,,,,,,31107.0,,,,12353.0,,,,,,,30.0,,23,0,10
A Mithun,16.0,6.0,1.0,34.0,26.0,4.0,1.0,11.0,0.0,0.0,16.0,288.0,472.0,7.0,0.0,2.0,37.0,5.0,6.8,130.77,9.83,67.43,66cf56a5,A Mithun,JIyIihGziJOiXJObee0cAVUKiCLi1JQ,,,,,,310958.0,,,,216771.0,,,,,,,151.0,,7,0,1
A Mukund,2.0,2.0,0.0,19.0,22.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,2.0,9.5,86.36,0.0,0.0,6165bca6,A Mukund,OJXUciezL0IJAQGiKii1CJbVyeJOIih,,,,,,302582.0,,,,167590.0,,,,,,,2.0,,3,0,1
A Nehra,88.0,17.0,10.0,41.0,62.0,3.0,1.0,22.0,0.0,0.0,88.0,1908.0,2495.0,106.0,0.0,4.0,10.0,7.0,5.86,66.13,7.85,23.54,96fd40ae,A Nehra,iOQIhJAe1ei0JLJizCiKiIGOXyUbcJV,,,,,,31820.0,,,,7767.0,,,,,,,115.0,,19,0,2
A Nel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,31.0,1.0,0.0,1.0,31.0,0.0,0.0,0.0,10.33,31.0,2503e881,A Nel,,,,,,,46569.0,,,,6326.0,,,,,,,346.0,,0,0,0
A Nortje,48.0,13.0,7.0,49.0,49.0,6.0,0.0,23.0,0.0,0.0,48.0,1096.0,1657.0,61.0,0.0,3.0,33.0,6.0,8.17,100.0,9.07,27.16,acdc62f5,A Nortje,,,,,,,481979.0,,,,1037475.0,,57187.0,,,,,5433.0,,11,0,1
A Raghuvanshi,18.0,18.0,2.0,463.0,320.0,46.0,16.0,54.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,16.0,28.94,144.69,0.0,0.0,d7017798,A Raghuvanshi,,,,,,,1292495.0,,,,,,,,,,,,,6,0,0
A Singh,23.0,5.0,1.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,23.0,473.0,620.0,28.0,0.0,4.0,19.0,4.0,0.5,20.0,7.86,22.14,30a4a9bc,Anurag Singh,,,,,,,20203.0,,,,,,,,,,,,,1,0,0
A Singh,23.0,5.0,1.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,23.0,473.0,620.0,28.0,0.0,4.0,19.0,4.0,0.5,20.0,7.86,22.14,5b040b81,A Singh,,,,,,,26789.0,,,,,,,,,,,137.0,,1,0,0
A Symonds,36.0,36.0,9.0,974.0,750.0,74.0,41.0,117.0,1.0,5.0,30.0,527.0,674.0,20.0,0.0,3.0,21.0,27.0,36.07,129.87,7.67,33.7,bd77eb62,A Symonds,,,,,,,7702.0,,,,4374.0,,,,,,,206.0,,21,0,1
