matches,innings_batted,runs_scored,balls_faced,fours,sixes,not_outs,high_score,centuries,fifties,innings_bowled,balls_bowled,runs_conceded,wickets,catches,stumpings,season,name,identifier,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2
13,0,349,307,33,15,0,0,0,0,0,120,128,6,5,0,2007,SC Ganguly,725529bc,SC Ganguly,,,,,,,28779.0,,,,2023.0,,,,,,,130.0,
13,0,112,98,10,6,0,0,0,0,0,268,366,11,3,0,2007,P Kumar,e938e1bc,P Kumar,J1iCzJIQL0eybOKiIJiOVUiXhcAGiJe,,,,,,30732.0,,,,73455.0,,,,,,,77.0,
4,0,188,92,13,15,0,0,0,0,0,0,0,0,1,0,2007,BB McCullum,b8a55852,BB McCullum,,,,,,,37737.0,,,,10263.0,,,5d52b90b-dbd2-4f38-9033-3ce0009b9e6e,,,,202.0,
11,0,34,43,4,0,0,0,0,0,0,252,357,13,1,0,2007,Z Khan,91a4a398,Z Khan,,,,,,,30102.0,,,,7645.0,,,,,,,165.0,
1,0,9,10,1,0,0,0,0,0,0,24,40,1,0,0,2007,AA Noffke,b69e69ed,AA Noffke,,,,,,,6938.0,,,,,,,,,,,,
11,0,199,183,23,4,0,0,0,0,0,206,311,4,3,0,2007,JH Kallis,86dc8f2e,JH Kallis,,,,,,,45789.0,,,,2231.0,,,,,,,198.0,
4,0,39,53,2,1,0,0,0,0,0,0,0,0,2,0,2007,RT Ponting,7d415ea5,RT Ponting,,,,,,,7133.0,,,,2229.0,,,,,,,361.0,
4,0,6,14,0,0,0,0,0,0,0,55,82,1,0,0,2007,SB Joshi,670709ec,SB Joshi,,,,,,,29725.0,,,,2290.0,,,,,,,,
13,0,319,259,19,17,0,0,0,0,0,78,130,2,5,0,2007,DJ Hussey,fd835ab3,DJ Hussey,,,,,,,5766.0,,,,,,,,,,,186.0,
8,0,114,102,8,4,0,0,0,0,0,6,24,0,3,0,2007,CL White,d0513f63,CL White,,,3325.0,,,,8291.0,,,,11866.0,,,,,,,178.0,
8,0,64,83,7,2,0,0,0,0,0,60,68,2,1,0,2007,Mohammad Hafeez,9ab63e7b,Mohammad Hafeez,,,,,,,41434.0,,,13050.0,19345.0,,,,,,,441.0,
14,0,371,298,35,11,0,0,0,0,0,0,0,0,2,0,2007,R Dravid,0184dc35,R Dravid,,,,,,,28114.0,,,,2280.0,,,,,,,131.0,
13,0,2,4,0,0,0,0,0,0,0,234,260,9,1,0,2007,AB Dinda,66b30f71,AB Dinda,UG1IAQOiiJIiibeCJezyXOihcJJKV0L,,,,,,227712.0,,,,,,,,,,,48.0,
6,0,115,104,12,3,0,0,0,0,0,0,0,0,3,0,2007,W Jaffer,619aa81f,W Jaffer,,,,,,,29646.0,,,,7112.0,,,,,,,,
13,0,11,11,1,0,0,0,0,0,0,253,329,7,2,0,2007,I Sharma,5bb1a1c4,I Sharma,UiOeJizJOeGXJiVybJ0iiIK1CIAhcQL,,,,,,236779.0,,,,100673.0,,,,,,,38.0,
12,0,165,157,18,4,0,0,0,0,0,46,61,2,2,0,2007,V Kohli,ba607b88,V Kohli,,,,,,,253802.0,,,,101095.0,,,,,,,164.0,
9,0,54,46,5,2,0,0,0,0,0,156,207,8,1,0,2007,AB Agarkar,fa463154,AB Agarkar,,,,,,,26184.0,,,,7111.0,,,,,,,47.0,
6,0,30,27,3,0,0,0,0,0,0,88,127,3,4,0,2007,M Kartik,abfeb126,M Kartik,,,,,,,30049.0,,,,7118.0,,,,,,,125.0,
10,0,225,177,24,6,0,0,0,0,0,0,0,0,3,1,2007,MV Boucher,f3cb53a1,MV Boucher,,,,,,,44111.0,,,,3941.0,,,,,,,306.0,
7,0,46,31,4,3,0,0,0,0,0,104,134,2,3,0,2007,B Akhil,af7dadf7,B Akhil,,,,,,,26206.0,,,,,,,,,,,,
12,0,159,119,12,7,0,0,0,0,0,0,0,0,8,2,2007,WP Saha,fe11caa6,WP Saha,iGiVeXU0JyihbJQJIeAzOCIciiLOJK1,,,,,,279810.0,,,,152985.0,,,,,,,16.0,
13,0,163,122,17,5,0,0,0,0,0,72,124,6,2,0,2007,LR Shukla,b1451597,LR Shukla,,,,,,,34019.0,,,,,,,,,,,88.0,
13,0,302,297,42,3,0,0,0,0,0,0,0,0,6,0,2007,PA Patel,b5da6c24,PA Patel,UVyIQiICJXziLJOiKiAcO0ihJ1beJGe,eJe0yzVIiJQcJ1iiObJLUOGKiXChiAI,,,,,32242.0,,,,9805.0,,,,,,,44.0,
4,0,17,13,2,1,0,0,0,0,0,96,112,4,3,0,2007,B Lee,dd09ff8e,B Lee,,,,,,,6278.0,,,,5951.0,,,,,,,196.0,
4,0,189,131,24,6,0,0,0,0,0,0,0,0,0,0,2007,ML Hayden,d8699ab7,ML Hayden,,,,,,,5616.0,,,,2118.0,,,,,,,352.0,
